natural_language,ground_truth,llm_output
"The system will install updates, but only if there is enough disk space and the update is available.",SOFTWARE_INSTALL IF ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,SYSTEM_INSTALLATION IMPLIES (DISK_SPACE_AVAILABLE AND UPDATE_AVAILABLE)
"The application will launch, but not if the operating system is outdated or the user is not logged in.",APPLICATION_LAUNCH IF OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (NOT OUTDATED_OS OR LOGGED_IN)
"The feature will be enabled, but only when the user is authenticated and the feature is available.",FEATURE_ENABLED IF USER_AUTHENTICATED AND FEATURE_AVAILABLE,FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE)
"The service will start automatically, but not if manual mode is selected or the service is not configured.",SERVICE_START IF AUTO_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND SERVICE_CONFIGURED
"The device will enter sleep mode, but only after 5 minutes of inactivity and when the device is idle.",SLEEP_MODE IF INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (MINUTES_OF_INACTIVITY >= 5 AND DEVICE_IDLE)
"Notifications will appear, but not when do not disturb mode is active or when the phone is switched off.",NOTIFICATIONS IF DND_MODE_DISABLED AND PHONE_ON,NOT (NOT DOOR_OPEN OR NOT POWER_ON) IMPLIES NOTIFICATIONS_APPEAR
"The backup will proceed, but only if the storage device is connected and backup is enabled.",BACKUP_PROCEED IF STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEED IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
"The system will reboot, but not if critical processes are running or reboot is not requested.",SYSTEM_REBOOT IF PROCESSES_COMPLETED AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT CRITICAL_PROCESSES_RUNNING OR REBOOT_REQUESTED)
"The settings will be saved, but only when the form is validated and the user has confirmed.",SETTINGS_SAVED IF FORM_VALIDATED AND USER_CONFIRMED,FORM_VALIDATED AND USER_CONFIRMED IMPLIES SETTINGS_SAVED
"The connection will be established, but not without network availability.",CONNECTION_ESTABLISHED IF NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES NETWORK_AVAILABILITY
