natural_language,ground_truth,llm_output
"The system will install updates, except if there is not enough disk space or the update is not available.",SOFTWARE_INSTALL IF ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,SYSTEM_INSTALLATION IMPLIES (NOT (NOT ENOUGH_DISK_SPACE OR UPDATE_AVAILABLE))
"The application will launch, except if the operating system is outdated or the user is not logged in.",APPLICATION_LAUNCH IF OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (NOT OUTDATED_OS OR LOGGED_IN)
"The feature will be enabled, except when the user is not authenticated or the feature is not available.",FEATURE_ENABLED IF USER_AUTHENTICATED AND FEATURE_AVAILABLE,(FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED OR FEATURE_AVAILABLE))
"The service will start automatically, except if manual mode is selected or the service is not configured.",SERVICE_START IF AUTO_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND (SERVICE_CONFIGURED)
"The device will enter sleep mode, except before 5 minutes of inactivity or when the device is not idle.",SLEEP_MODE IF INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE
"Notifications will appear, except when do not disturb mode is active or when the phone is switched off.",NOTIFICATIONS IF DND_MODE_DISABLED AND PHONE_ON,NOT (NOT DOOR_OPEN OR NOT PHONE_ON) IMPLIES NOTIFICATIONS_APPEAR
"The backup will proceed, except if the storage device is not connected or backup is not enabled.",BACKUP_PROCEED IF STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEEDS IMPLIES (NOT STORAGE_DEVICE_CONNECTED OR NOT BACKUP_ENABLED))
"The system will reboot, except if critical processes are running or reboot is not requested.",SYSTEM_REBOOT IF PROCESSES_COMPLETED AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT CRITICAL_PROCESSES_RUNNING OR NOT REBOOT_REQUESTED)
"The settings will be saved, except when the form is not validated or the user has not confirmed.",SETTINGS_SAVED IF FORM_VALIDATED AND USER_CONFIRMED,(SAVE_SETTINGS) IMPLIES ((NOT VALIDATE_FORM) OR (NOT CONFIRMED))
"The connection will be established, except without network availability.",CONNECTION_ESTABLISHED IF NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES NETWORK_AVAILABILITY
The system will not install updates unless there is enough disk space and the update is available.,SOFTWARE_INSTALL UNLESS NOT ENOUGH_DISK_SPACE OR NOT UPDATE_AVAILABLE,SOFTWARE_INSTALLATION IMPLIES (NOT ENOUGH_DISK_SPACE OR UPDATE_AVAILABLE)
The application will not launch unless the operating system is updated and the user is logged in.,APPLICATION_LAUNCH UNLESS NOT OPERATING_SYSTEM_UPDATED OR NOT USER_LOGGED_IN,LAUNCH_APP IMPLIES (OS_UPDATED AND USER_LOGGED_IN)
The feature will not be enabled unless the user is authenticated and the feature is available.,FEATURE_ENABLED UNLESS NOT USER_AUTHENTICATED OR NOT FEATURE_AVAILABLE,(FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE))
The service will not start automatically unless auto mode is selected and the service is configured.,SERVICE_START UNLESS NOT AUTO_MODE_SELECTED OR NOT SERVICE_CONFIGURED,SERVICE_START_AUTO IMPLIES (AUTO_MODE_SELECTED AND SERVICE_CONFIGURED)
The device will not enter sleep mode unless there have been 5 minutes of inactivity and the device is idle.,SLEEP_MODE UNLESS INACTIVITY_LESS_THAN_5MIN OR NOT DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (NOT DEVICE_ACTIVE FOR 300 SECONDS) AND NOT DEVICE_BUSY
Notifications will not appear unless do not disturb mode is disabled and the phone is switched on.,NOTIFICATIONS UNLESS DND_MODE_ENABLED OR PHONE_OFF,NOT NOTIFICATION_APPEARS
The backup will not proceed unless the storage device is connected and backup is enabled.,BACKUP_PROCEED UNLESS NOT STORAGE_CONNECTED OR NOT BACKUP_ENABLED,(BACKUP_PROCEED IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
The system will not reboot unless all critical processes have completed and a reboot is requested.,SYSTEM_REBOOT UNLESS CRITICAL_PROCESSES_RUNNING OR NOT REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT SYSTEM_REBOOT OR ALL_CRITICAL_PROCESSES_COMPLETED)
The settings will not be saved unless the form is validated and the user has confirmed.,SETTINGS_SAVED UNLESS NOT FORM_VALIDATED OR NOT USER_CONFIRMED,(SAVE_SETTINGS) IMPLIES ((VALIDATE_FORM) AND (USER_CONFIRMED))
The connection will not be established unless the network is available and a connection is requested.,CONNECTION_ESTABLISHED UNLESS NOT NETWORK_AVAILABLE OR NOT CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES (NETWORK_AVAILABLE AND CONNECTION_REQUESTED)
"The system will install updates, but only if there is enough disk space and the update is available.",SOFTWARE_INSTALL IF ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,SYSTEM_INSTALLATION IMPLIES (DISK_SPACE_AVAILABLE AND UPDATE_AVAILABLE)
"The application will launch, but not if the operating system is outdated or the user is not logged in.",APPLICATION_LAUNCH IF OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (NOT OUTDATED_OS OR LOGGED_IN)
"The feature will be enabled, but only when the user is authenticated and the feature is available.",FEATURE_ENABLED IF USER_AUTHENTICATED AND FEATURE_AVAILABLE,FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE)
"The service will start automatically, but not if manual mode is selected or the service is not configured.",SERVICE_START IF AUTO_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND SERVICE_CONFIGURED
"The device will enter sleep mode, but only after 5 minutes of inactivity and when the device is idle.",SLEEP_MODE IF INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (MINUTES_OF_INACTIVITY >= 5 AND DEVICE_IDLE)
"Notifications will appear, but not when do not disturb mode is active or when the phone is switched off.",NOTIFICATIONS IF DND_MODE_DISABLED AND PHONE_ON,NOT (NOT DOOR_OPEN OR NOT POWER_ON) IMPLIES NOTIFICATIONS_APPEAR
"The backup will proceed, but only if the storage device is connected and backup is enabled.",BACKUP_PROCEED IF STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEED IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
"The system will reboot, but not if critical processes are running or reboot is not requested.",SYSTEM_REBOOT IF PROCESSES_COMPLETED AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT CRITICAL_PROCESSES_RUNNING OR REBOOT_REQUESTED)
"The settings will be saved, but only when the form is validated and the user has confirmed.",SETTINGS_SAVED IF FORM_VALIDATED AND USER_CONFIRMED,FORM_VALIDATED AND USER_CONFIRMED IMPLIES SETTINGS_SAVED
"The connection will be established, but not without network availability.",CONNECTION_ESTABLISHED IF NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES NETWORK_AVAILABILITY
Updates will be installed as long as there is enough disk space and the update is available.,SOFTWARE_INSTALL PROVIDED THAT ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,UPDATE_INSTALLED IMPLIES (ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE)
The application will launch as long as the operating system is up to date and the user is logged in.,APPLICATION_LAUNCH PROVIDED THAT OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (OS_UP_TO_DATE AND USER_LOGGED_IN)
The feature will be enabled as long as the user is authenticated and the feature is available.,FEATURE_ENABLED PROVIDED THAT USER_AUTHENTICATED AND FEATURE_AVAILABLE,USER_AUTHENTICATED AND FEATURE_AVAILABLE IMPLIES FEATURE_ENABLED
The service will start automatically as long as manual mode is not selected and the service is configured.,SERVICE_START PROVIDED THAT NOT MANUAL_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND SERVICE_CONFIGURED
The device will enter sleep mode as long as there have been 5 minutes of inactivity and the device is idle.,SLEEP_MODE PROVIDED THAT INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (MINUTES_OF_INACTIVITY >= 5 AND DEVICE_IDLE)
Notifications will appear as long as do not disturb mode is disabled and the phone is switched on.,NOTIFICATIONS PROVIDED THAT DND_MODE_DISABLED AND PHONE_ON,(NOT DO_NOT_DISTURB) AND (PHONE_SWITCHED_ON) IMPLIES NOTIFICATIONS_APPEAR
The backup will proceed as long as the storage device is connected and backup is enabled.,BACKUP_PROCEED PROVIDED THAT STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEEDS IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
The system will reboot as long as no critical processes are running and a reboot is requested.,SYSTEM_REBOOT PROVIDED THAT NOT CRITICAL_PROCESSES_RUNNING AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT CRITICAL_PROCESSES_RUNNING AND REBOOT_REQUESTED)
The settings will be saved as long as the form is validated and the user has confirmed.,SETTINGS_SAVED PROVIDED THAT FORM_VALIDATED AND USER_CONFIRMED,FORM_VALIDATED AND USER_CONFIRMED IMPLIES SETTINGS_SAVED
The connection will be established as long as the network is available and a connection is requested.,CONNECTION_ESTABLISHED PROVIDED THAT NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES (NETWORK_AVAILABLE AND CONNECTION_REQUESTED)
"Updates will be installed, provided that there is enough disk space and the update is available.",SOFTWARE_INSTALL PROVIDED THAT ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,UPDATE_INSTALLED IMPLIES (ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE)
"The application will launch, provided that the operating system is up to date and the user is logged in.",APPLICATION_LAUNCH PROVIDED THAT OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (OS_UP_TO_DATE AND USER_LOGGED_IN)
"The feature will be enabled, provided that the user is authenticated and the feature is available.",FEATURE_ENABLED PROVIDED THAT USER_AUTHENTICATED AND FEATURE_AVAILABLE,FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE)
"The service will start automatically, provided that manual mode is not selected and the service is configured.",SERVICE_START PROVIDED THAT NOT MANUAL_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND SERVICE_CONFIGURED
