natural_language,ground_truth,llm_output
The system will not install updates unless there is enough disk space and the update is available.,SOFTWARE_INSTALL IMPLIES ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,SOFTWARE_INSTALLATION IMPLIES (NOT ENOUGH_DISK_SPACE OR UPDATE_AVAILABLE)
The application will not launch unless the operating system is updated and the user is logged in.,APPLICATION_LAUNCH IMPLIES OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (OS_UPDATED AND USER_LOGGED_IN)
The feature will not be enabled unless the user is authenticated and the feature is available.,FEATURE_ENABLED IMPLIES USER_AUTHENTICATED AND FEATURE_AVAILABLE,(FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE))
The service will not start automatically unless auto mode is selected and the service is configured.,SERVICE_START IMPLIES AUTO_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START_AUTO IMPLIES (AUTO_MODE_SELECTED AND SERVICE_CONFIGURED)
The device will not enter sleep mode unless there have been 5 minutes of inactivity and the device is idle.,SLEEP_MODE IMPLIES INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (NOT DEVICE_ACTIVE FOR 300 SECONDS) AND NOT DEVICE_BUSY
Notifications will not appear unless do not disturb mode is disabled and the phone is switched on.,NOTIFICATIONS IMPLIES DND_MODE_DISABLED AND PHONE_ON,NOT NOTIFICATION_APPEARS
The backup will not proceed unless the storage device is connected and backup is enabled.,BACKUP_PROCEED IMPLIES STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEED IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
The system will not reboot unless all critical processes have completed and a reboot is requested.,SYSTEM_REBOOT IMPLIES CRITICAL_PROCESSES_COMPLETED AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT SYSTEM_REBOOT OR ALL_CRITICAL_PROCESSES_COMPLETED)
The settings will not be saved unless the form is validated and the user has confirmed.,SETTINGS_SAVED IMPLIES FORM_VALIDATED AND USER_CONFIRMED,(SAVE_SETTINGS) IMPLIES ((VALIDATE_FORM) AND (USER_CONFIRMED))
The connection will not be established unless the network is available and a connection is requested.,CONNECTION_ESTABLISHED IMPLIES NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES (NETWORK_AVAILABLE AND CONNECTION_REQUESTED)
