natural_language,ground_truth,llm_output
"Updates will be installed, provided that there is enough disk space and the update is available.",SOFTWARE_INSTALL PROVIDED THAT ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE,UPDATE_INSTALLED IMPLIES (ENOUGH_DISK_SPACE AND UPDATE_AVAILABLE)
"The application will launch, provided that the operating system is up to date and the user is logged in.",APPLICATION_LAUNCH PROVIDED THAT OPERATING_SYSTEM_UPDATED AND USER_LOGGED_IN,LAUNCH_APP IMPLIES (OS_UP_TO_DATE AND USER_LOGGED_IN)
"The feature will be enabled, provided that the user is authenticated and the feature is available.",FEATURE_ENABLED PROVIDED THAT USER_AUTHENTICATED AND FEATURE_AVAILABLE,FEATURE_ENABLED IMPLIES (USER_AUTHENTICATED AND FEATURE_AVAILABLE)
"The service will start automatically, provided that manual mode is not selected and the service is configured.",SERVICE_START PROVIDED THAT NOT MANUAL_MODE_SELECTED AND SERVICE_CONFIGURED,SERVICE_START IMPLIES (NOT MANUAL_MODE) AND SERVICE_CONFIGURED
"The device will enter sleep mode, provided that there have been 5 minutes of inactivity and the device is idle.",SLEEP_MODE PROVIDED THAT INACTIVITY_5MIN AND DEVICE_IDLE,DEVICE_IN_SLEEP_MODE IMPLIES (MINUTES_OF_INACTIVITY >= 5 AND DEVICE_IDLE)
"Notifications will appear, provided that do not disturb mode is disabled and the phone is switched on.",NOTIFICATIONS PROVIDED THAT DND_MODE_DISABLED AND PHONE_ON,(NOT DO_NOT_DISTURB) AND (PHONE_SWITCHED_ON) IMPLIES NOTIFICATIONS_APPEAR
"The backup will proceed, provided that the storage device is connected and backup is enabled.",BACKUP_PROCEED PROVIDED THAT STORAGE_CONNECTED AND BACKUP_ENABLED,(BACKUP_PROCEED IMPLIES (STORAGE_DEVICE_CONNECTED AND BACKUP_ENABLED))
"The system will reboot, provided that no critical processes are running and a reboot is requested.",SYSTEM_REBOOT PROVIDED THAT NOT CRITICAL_PROCESSES_RUNNING AND REBOOT_REQUESTED,SYSTEM_REBOOT IMPLIES (NOT CRITICAL_PROCESSES_RUNNING AND REBOOT_REQUESTED)
"The settings will be saved, provided that the form is validated and the user has confirmed.",SETTINGS_SAVED PROVIDED THAT FORM_VALIDATED AND USER_CONFIRMED,(SAVE_SETTINGS) IMPLIES ((VALIDATE_FORM) AND (USER_CONFIRMED))
"The connection will be established, provided that the network is available and a connection is requested.",CONNECTION_ESTABLISHED PROVIDED THAT NETWORK_AVAILABLE AND CONNECTION_REQUESTED,CONNECTION_ESTABLISHED IMPLIES (NETWORK_AVAILABLE AND CONNECTION_REQUESTED)
